index,Name.x,Hall.of.Fame.Class,Year.Drafted,RGP,RMIN,RPTS,RFGM,RFGA,RFG.,RX3P.Made,RX3PA,RX3P.,RFTM,RFTA,RFT.,ROREB,RDREB,RREB,RAST,RSTL,RBLK,RTOV,REFF,HOF,birth_year,pos,age,experience,lg,tm,ts_percent,x3p_ar,f_tr,orb_percent,drb_percent,trb_percent,ast_percent,stl_percent,blk_percent,tov_percent,usg_percent,ows,dws,ws,ws_48,obpm,dbpm,bpm,vorp
0,Jeff Taylor,NA,1982,44,17.6,3.6,1.5,3.6,40,0,0,0,0.7,1,65.2,0.6,1.2,1.8,2.5,0.9,0.3,1.4,5.2,0,1960,SG,23,1,NBA,HOU,0.438,0.006,0.288,3.3,7.8,5.4,18.6,2.4,1.1,25,12.4,-0.6,0.5,-0.2,-0.011,-3.9,0.8,-3.1,-0.2
1,Charles Smith,NA,1988,71,30.4,16.3,6.1,12.4,49.5,0,0,0,4,5.5,72.5,2.4,4.1,6.5,1.5,1,1.3,2.1,16.7,0,1965,PF,23,1,NBA,LAC,0.55,0.003,0.448,8.6,14.4,11.5,6.9,1.4,2.3,12.2,21.8,2.4,1.6,4,0.089,-0.8,-0.9,-1.7,0.2
3,Charles Smith,NA,1989,60,8.7,2.9,1,2.2,44.4,0,0.1,0,0.9,1.3,69.7,0.2,0.9,1.2,1.7,0.6,0.1,0.6,4.1,0,1967,PG,22,1,NBA,BOS,0.514,0.053,0.571,3.1,11.1,7.3,25.1,3.3,0.3,17.8,16.4,0.4,0.7,1.1,0.102,-2.5,1.8,-0.8,0.2
4,Michael Smith,NA,1989,65,9.5,5,2.1,4.4,47.6,0,0.4,7.1,0.8,1,82.8,0.6,0.9,1.5,1.2,0.1,0,0.8,4.6,0,1965,PF,24,1,NBA,BOS,0.52,0.098,0.224,7.5,10.2,8.9,18.6,0.7,0.1,14.7,25,0.3,0.4,0.7,0.055,-0.8,-2.5,-3.3,-0.2
5,Dee Brown,NA,1990,82,23.7,8.7,3.5,7.5,46.4,0.1,0.4,20.6,1.7,1.9,87.3,0.5,1.7,2.2,4.2,1,0.2,1.7,10.4,0,1968,PG,22,1,NBA,BOS,0.523,0.056,0.257,2.5,7.4,5.2,22.5,2.1,0.4,16.7,17.7,1.8,1.8,3.5,0.087,-0.9,0,-0.9,0.5
6,Michael Smith,NA,1994,82,21.2,6.9,2.7,5,54.2,0,0,0,1.5,3.2,48.5,2.1,3.8,5.9,0.8,0.7,0.6,1.3,9.8,0,1972,PF,22,1,NBA,SAC,0.544,0.005,0.645,11.9,20.6,16.3,6.1,1.8,2.1,16.9,16.1,0.9,2.8,3.7,0.101,-1.7,0.9,-0.9,0.5
7,Mark Davis,NA,1995,57,10,3.3,1,2.6,36.9,0.1,0.2,30.8,1.3,2,63.8,1,1.2,2.2,0.8,0.7,0.4,1.2,3.8,0,1973,SF,22,1,NBA,MIN,0.47,0.087,0.779,11.7,14.5,13.1,12.6,3.6,2.9,25.4,20.8,-0.8,0.8,-0.1,-0.005,-4.2,1,-3.2,-0.2
8,Charles Smith,NA,1997,34,8.6,3.5,1.4,3.7,39.2,0.4,1.4,31.9,0.2,0.3,54.5,0.4,0.4,0.8,0.6,0.3,0.2,0.8,2.3,0,1975,SG,22,1,NBA,TOT,0.458,0.376,0.088,5.2,5.5,5.3,12.6,2.2,1.4,17.2,24,-0.4,0,-0.3,-0.057,-2.6,-2.5,-5.1,-0.2
9,Dee Brown,NA,2006,49,9.2,1.9,0.7,2,32.7,0.1,0.6,21.4,0.5,0.8,64.9,0.2,0.7,0.8,1.7,0.5,0.1,0.6,2.8,0,1984,PG,22,1,NBA,UTA,0.411,0.286,0.378,2.2,8.6,5.4,26.2,2.6,1.3,21.3,14.5,-0.2,0.5,0.2,0.024,-3,1.1,-1.8,0
10,Jeff Taylor,NA,2012,77,19.6,6.1,2.2,5.2,43.1,0.7,2,34.4,1,1.3,72.8,0.7,1.3,1.9,0.8,0.6,0.2,0.6,5.8,0,1989,SF,23,1,NBA,CHA,0.531,0.386,0.258,3.8,7.7,5.7,7,1.6,0.8,9.7,14.9,1.2,0,1.2,0.039,-2.1,-1.5,-3.6,-0.6
